1,1,6,لودفيج
1,1,5, فان 
1,1,49,بيتهوفن مؤلف موسيقي الماني ولد عام في مدينه بون .
1,2,73,يعتبر من ابرز عباقره الموسيقي في جميع العصور وابدع اعمالا موسيقيه خالده .
1,3,46,له الفضل الاعظم في تطوير الموسيقي الكلاسيكيه .
1,4,32,قدم اول عمل موسيقي وعمره سنوات .
1,5,92,تشمل مؤلفاته للاوركسترا تسعه سيمفونيات وخمس مقطوعات موسيقيه علي البيانو ومقطوعه علي الكمان .
1,6,55,كما الف العديد من المقطوعات الموسيقيه كمقدمات للاوبرا .
1,7,44,بدا بيتهوفن يفقد سمعه في الثلاثينيات من عمره
1,7,8, الا ان 
1,7,22,ذلك لم يؤثر علي انتاجه
1,7,6, الذي 
1,7,8,ازداد في
1,7,5, تلك 
1,7,23,الفتره وتميز بالابداع .
1,8,52,من اجمل اعماله السمفونيه الخامسه والسادسه والتاسعه .
1,9,23,وقد توفي في فيينا عام .
1,10,51,شهدت مدينه بون الالمانيه ميلاد الفنان العبقري لودفج
1,10,5, فان 
1,10,21,بيتهوفن في ديسمبر عام
1,10,5, وتم 
1,10,18,تعميده في ديسمبر .
1,11,45,ظهر تميزه الموسيقي منذ صغره فنشرت اولي اعماله
1,11,5, وهو 
1,11,27,في الثانيه عشرمن عمره عام .
1,12,35,اتسعت شهرته كعازف بيانو في سن مبكره
1,12,4, ثم 
1,12,35,زاد انتاجه وذاع صيته كمؤلف موسيقي .
1,13,51,عاني بيتهوفن كثيرا في حياته عائليا وصحيا فبالرغم من
1,13,4, ان 
1,13,19,اباه هو معلمه الاول
1,13,6, الذي 
1,13,52,وجه اهتمامه للموسيقي ولقنه العزف علي البيانو والكمان
1,13,5, الا 
1,13,23,انه لم يكن الاب المثالي
1,13,5, فقد 
1,13,16,كان مدمنا للكحول
1,13,5, كما 
1,13,15,ان والدته توفيت
1,13,5, وهو 
1,13,22,في السابعه عشر من عمره
1,13,5, بعد 
1,13,9,صراع طويل
1,13,4, مع 
1,13,32,المرض تاركه له مسؤوليه العائله .
1,14,29,مما منعه من اتمام خطته والسفر
1,14,5, الي 
1,14,23,فيينا عاصمه الموسيقي في
1,14,5, ذلك 
1,14,7,العصر .
1,15,3,فهل
1,15,5, كان 
1,15,78,التاليف الموسيقي هو نوع من انواع العلاج والتغلب علي المشاكل بالنسبه لبيتهوفن .
1,16,18,في تحقق حلمه اخيرا
1,16,5, فقد 
1,16,14,ارسله حاكم بون
1,16,5, الي 
1,16,5,فيينا
1,16,7, وهناك 
1,16,20,تتلمذ علي يد هايدن .
1,17,43,ولكن بيتهوفن صاحب الالحان واجه بعض الخلافات
1,17,4, مع 
1,17,23,معلمه وعندما سافر هايدن
1,17,5, الي 
1,17,17,لندن تحول بيتهوفن
1,17,5, الي 
1,17,12,معلمين اخرين
1,17,5, مثل 
1,17,28,ساليري وشينك والبريشتبيرجر .
1,18,12,وقد اسهمت كل
1,18,5, هذه 
1,18,50,الدروس والاحتكاكات في تكوين شخصيه بيتهوفن الفنيه .
1,19,5,وحاول
1,19,4, ان 
1,19,45,يشق لنفسه طريق كعازف في عاصمه الموسيقي وسرعان
1,19,4, ما 
1,19,46,لاقي مكانه كبري خاصه في الاوساط الارستقراطيه .
1,20,58,فقد حاز باعجاب الاسره الملكيه وعومل كصديق اكثر منه مؤلفا .
1,21,9,بالرغم من
1,21,5, ذلك 
1,21,51,فقد عاش ومات فقيرا غناه هو اعماله الفنيه المتميزه .
1,22,26,فقد جاء انتاجه الفني غزيرا
1,22,5, حتي 
1,22,19,بعد اصابته بالصمم .
1,23,114,بدات اصابه بيتهوفن بصمم بسيط عام فبدا في الانسحاب من الاوساط الفنيه تدريجيا وامضي حياته بلا زواج يرتبط بعلاقات عده
1,23,4, مع 
1,23,14,سيدات صغيرات .
1,24,33,الا انه لم يتوقف عن الانتاج الفني
1,24,6, ولكن 
1,24,25,اعماله اتخذت اتجاه جديد .
1,25,21,ومع ازدياد حاله الصمم
1,25,6, التي 
1,25,114,اصابته امتنع عن العزف في الحفلات العامه وابتعد عن الحياه الاجتماعيه واتجه للوحده وقلت مؤلفاته واصبحت اكثر تعقيدا .
1,26,57,حتي انه رد علي انتقادات نقاده بانه يعزف للاجيال القادمه .
1,27,21,وبالفعل مازالت اعماله
1,27,5, حتي 
1,27,12,اليوم من اهم
1,27,4, ما 
1,27,37,انتجته الموسيقي الكلاسيكيه العالميه .
1,28,28,واكتسبت اثنان من السيمفونيات
1,28,6, التي 
1,28,59,كتبها في صممه اكبر شعبيه وهما السيمفونيه الخامسه والتاسعه .
1,29,89,كما انه احدث الكثير من التغييرات في الموسيقي وادخل الغناء والكلمات في سيمفونيته التاسعه .
1,30,12,فجاءت رسالته
1,30,5, الي 
1,30,30,العالم كل البشر سيصبحون اخوه .
2,1,15,الناي اله نفخيه
2,1,5, تعد 
2,1,31,بحق اقدم اله موسيقيه في التاريخ
2,1,5, اذا 
2,1,51,استثنينا الالات الايقاعيه وللناي عده اسماء تعرف بها
2,1,6, منها 
2,1,31,الناي القصبه الشبابه المنجيره .
2,2,33,والناي كلمه فارسيه تعني المزمار .
2,3,64,هي قصبه مفتوحه الطرفين يعزف عليها بواسطه وضع الفم علي احد طرفيها
2,3,4, مع 
2,3,19,امالته قليلا بزاويه
2,3,5, مما 
2,3,100,يجعل الهواء يصطدم بجدارها الداخلي مصدرا بالنتيجه صوتا شجيا هو اقرب الاصوات واجملها بالنسبه للانسان .
2,4,61,وللناي سته ثقوب واحيانا سبعه وثقب في منتصف القصبه من الاسفل .
2,5,4,وتسد
2,5,5, هذه 
2,5,12,الثقوب وتفتح
2,5,5, حسب 
